Object ID,Department,Object Name,Title,Culture,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,Country
449151,Islamic Art,Dado panel,Dado Panel,Iran,Iran,1900,1999,Plaster; cast,"Rogers Fund, 1937",Iran
452672,Islamic Art,Folio from an illustrated manuscript,"""Yusuf and Zulaikha"", Folio 51r from a Bustan of Sa`di",Unknown,Uzbekistan,1500,1560,"Ink, opaque watercolor, and gold on paper","Purchase, Louis V. Bell Fund and The Vincent Astor Foundation Gift, 1974",Uzbekistan
459471,Robert Lehman Collection,Drawing,Head of a Man in Profile,Unknown,Unknown,1490,1499,"Black chalk, pen and brown ink, heightened with white.","Robert Lehman Collection, 1975",Unknown
466522,Medieval Art,Fragment,Glass Fragment,French,France,1200,1299,Colorless glass,"Gift of Dr. Bashford Dean, 1923",France
468605,Medieval Art,Hilt,Eagle-Headed Hilt,European,Unknown,300,400,Copper alloy,"Gift of Lawrence J. Majewski, 1963",Unknown
469993,The Cloisters,Panel,Grisaille Panel,French,France,1250,1270,White and pot-metal glass with vitreous paint,"The Cloisters Collection, 1982",France
470842,The Cloisters,Capital,Capital,French,France,1100,1150,Marble,"The Cloisters Collection, 1925",France
471090,The Cloisters,Roundel,Roundel with Saint John the Baptist,Dutch,Unknown,1510,1520,"Colorless glass, silver stain, vitreous paint","The Cloisters Collection, 1932",Unknown
482952,Modern and Contemporary Art,Drawing,Untitled,Unknown,Unknown,1940,1940,Graphite on paper,"Gift of Mr. and Mrs. Meyer Schapiro, 1983",Unknown
485091,Modern and Contemporary Art,Glass,Glass,Unknown,Unknown,1950,1959,Glass,"Purchase, Theodore R. Gamble Jr. Gift, in honor of his mother, Mrs. Theodore Robert Gamble, 1988",Unknown
486390,Modern and Contemporary Art,Design,"Design for a Washstand for the Blue Bedroom, Hous'hill",Unknown,Unknown,1904,1904,Watercolor and graphite on paper,"Purchase, Lila Acheson Wallace Gift, 1994",Unknown
486599,Modern and Contemporary Art,Bowl,"""Tard la Nuit"" Bowl",Unknown,Unknown,1989,1989,Glass,"Gift of Peter T. Joseph, 1995",Unknown
488438,Modern and Contemporary Art,Drawing,Alvin Langdon Coburn,Unknown,Unknown,1910,1910,"Ink, watercolor, metallic paint, and graphite on paper","Alfred Stieglitz Collection, 1949",Unknown
544812,Egyptian Art,"Figurine, female, fragmentary",Upper Half of a Female Figurine,Middle Eastern,Egypt,-1981,-1981,Pottery,"Gift of Albert M. Lythgoe, 1917",Egypt
545193,Egyptian Art,"Ostracon, hieratic",Hieratic ostracon,Middle Eastern,Egypt,-1295,-1295,"Limestone, ink, paint","Gift of Theodore M. Davis, 1909",Egypt
547202,Egyptian Art,"Figurine, seated woman",Figurine of a Seated Woman,Middle Eastern,Egypt,-3450,-3300,"Limestone, organic material, paint, malachite","Rogers Fund, 1907",Egypt
547248,Egyptian Art,"Beaker, white cross-lined ware",White cross-lined ware beaker decorated with zigzags,Middle Eastern,Egypt,-3900,-3650,"Pottery, paint","Rogers Fund, 1907",Egypt
549075,Egyptian Art,Club,Club,Middle Eastern,Egypt,-1473,-1458,Wood,"Rogers Fund, 1936",Egypt
556721,Egyptian Art,"Basket, coil, lid",Cylindrical Coil Basket with Lid,Middle Eastern,Egypt,-2124,-2124,Grasses,"Rogers Fund, 1931",Egypt
563318,Egyptian Art,Jar Label,Jar label fragments,Middle Eastern,Egypt,-1390,-1390,"Pottery and ink, paint","Rogers Fund, 1917",Egypt
563892,Egyptian Art,"Jar Label, meat",Jar Label,Middle Eastern,Egypt,-1390,-1390,"Pottery and ink, paint","Rogers Fund, 1917",Egypt
564519,Egyptian Art,Relief fragment,Relief fragment,Middle Eastern,Egypt,-1981,-1640,Granite,"Rogers Fund, 1933",Egypt
565027,Egyptian Art,"Linen, from Wah's Mummy","Linen, from Wah's Mummy",Middle Eastern,Egypt,-1981,-1975,Linen,"Rogers Fund and Edward S. Harkness Gift, 1920",Egypt
623826,Drawings and Prints,Print,Discover Dry Dock Country: Madison Avenue between 63rd and 65th,Unknown,Unknown,1972,1972,Commercial printing in color,"Gift of Dry Dock Savings Bank, 1973",Unknown
625312,Drawings and Prints,Print,"St. Agatha, from 'Di Tutti gli Affresco del Correggio e di Quattro del Parmigianino'",Unknown,Unknown,1841,1851,Engraving,"Gift of Lucy Chauncey, in memory of her father, Henry Chauncey, 1935",Unknown
632372,Drawings and Prints,Photograph,"Walter Switzer, Cornell Quarterback shown being grounded by three Columbia Players, from the ""Baseball and Football"" set (R311), issued by the National Chicle Company to promote Diamond Stars Gum",Unknown,Unknown,1936,1936,Albumen print (glossy finish),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
634357,Drawings and Prints,Print,"The Virgin and Child with St. John the Baptist, St. Francis, and St. Catherine of Siena",Unknown,Unknown,1585,1585,Chiaroscuro woodcut from four blocks printed in orange,"Rogers Fund, 1922",Unknown
634643,Drawings and Prints,"Print, baseball card","Card Number 28, Harry ""The Cat"" Brecheen, Pitcher, St. Louis Cardinals, from the Topps Red/ Blue Backs series (R414-5) issued by Topps Chewing Gum Company",Unknown,Unknown,1951,1951,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
638012,Drawings and Prints,Print,"Card No. 145, U.S. Luscombe ""Silvaire,"" from the Aviation Gum series (V356), issued by World Wide Gum Company, Ltd.",Unknown,Unknown,1940,1940,Photolithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
638616,Photographs,Photograph,Officer Gordon F. Wilson Shows Mug Pictures to a Woman,Unknown,Unknown,1970,1970,Gelatin silver print,"Anonymous Gift, 2014",Unknown
642712,Drawings and Prints,"Baseball card, print","Card Number 22, Jim Greengrass, Outfield, Cincinnati Redlegs, from ""1954 Topps Regular Issue"" series (R414-8), issued by Topps Chewing Gum Company.",Unknown,Unknown,1954,1954,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
646748,Drawings and Prints,Print,"Mary, Queen of Scots at the execution block (from The History of England)",Unknown,Unknown,1795,1795,Etching and engraving,"Gift of Susan Dwight Bliss, 1958",Unknown
650909,Drawings and Prints,Print,Happy Easter (Frohe Ostern),Unknown,Unknown,1912,1912,Color lithograph,"Museum Accession, transferred from the Library",Unknown
651579,Drawings and Prints,Print,"Portrait, bust-length, with bow",Unknown,Unknown,1900,1900,Drypoint,"Gift of Mr. and Mrs. Meyer Schapiro, 1983",Unknown
651818,Photographs,Photograph,"Stripper with bare breasts sitting in her dressing room, Atlantic City, N.J.",Unknown,Unknown,1961,1961,Gelatin silver print,"Purchase, Jade Lau Gift, 2015",Unknown
655098,Drawings and Prints,Photograph,"Virginia Hurned, from the Actresses series (N245) issued by Kinney Brothers to promote Sweet Caporal Cigarettes",Unknown,Unknown,1890,1890,Albumen photograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
656909,Drawings and Prints,Print,The woodcutter,Unknown,Unknown,1921,1931,Woodcut,"Gift of Carl Zigrosser, 1930",Unknown
